age,gender,occupation,line_of_work,time_bp,time_dp,travel_time,easeof_online,home_env,prod_inc,sleep_bal,new_skill,fam_connect,relaxed,self_time,like_hw,dislike_hw,prefer,certaindays_hw,,time_bp,travel+work
19-25,Male,Student in College,,7,5,0.5,3,3,0,0,0.5,1,-0.5,-0.5,100,1,Complete Physical Attendance,Yes,,7,
Dec-18,Male,Student in School,,7,11,0.5,4,2,-0.5,0.5,-1,1,1,1,1111,1110,Complete Physical Attendance,No,,7,
19-25,Male,Student in College,,7,7,1.5,2,2,1,0,0.5,0.5,0.5,0.5,1100,111,Complete Physical Attendance,Yes,,7,
19-25,Male,Student in College,,7,7,1.5,3,1,0,1,0.5,0,-1,-0.5,100,1111,Complete Physical Attendance,Yes,,7,
19-25,Female,Student in College,,7,7,1.5,2,2,0,0,0,0,0.5,0,1010,1000,Complete Physical Attendance,Yes,,7,
19-25,Male,Student in College,,5,7,0.5,4,4,-1,-1,0,-0.5,0,0,110,1100,Complete Physical Attendance,No,,5,
19-25,Male,Student in College,,5,4,0.5,1,3,0.5,0.5,1,0.5,1,1,1100,1101,Work/study from home,Yes,,5,
19-25,Male,Student in College,,7,9,0.5,3,2,0,-0.5,-0.5,-1,-0.5,0,1000,1000,Complete Physical Attendance,Yes,,7,
19-25,Male,Student in College,,5,9,0.5,1,2,1,1,1,1,1,1,1010,100,Work/study from home,Yes,,5,
19-25,Male,Student in College,,7,7,1.5,2,2,0,0,0,-1,0,0,1110,1111,Work/study from home,Yes,,7,
19-25,Male,Student in College,,7,4,0.5,2,1,0,-0.5,0.5,0.5,0,0.5,1100,1101,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,5,9,0.5,3,3,0,0,0,0,0,0,1100,1011,Complete Physical Attendance,No,,5,
19-25,Male,Student in College,,7,11,0.5,5,4,0,-1,1,-0.5,-1,-1,110,1100,Complete Physical Attendance,Yes,,7,
19-25,Female,Student in College,,7,7,0.5,2,1,-0.5,0,0.5,1,0.5,1,1110,1100,Complete Physical Attendance,Maybe,,7,
33-40,Male,Working Professional,Teaching,9,11,0.5,2,3,0,0.5,0.5,0,0.5,0,1000,100,Complete Physical Attendance,No,,9,
19-25,Male,Student in College,,11,5,0.5,5,2,0,0,1,1,0.5,1,1110,1000,Work/study from home,Yes,,11,
33-40,Male,Working Professional,Teaching,7,5,0.5,2,3,0,-0.5,0.5,0.5,-0.5,0.5,110,1001,Complete Physical Attendance,Maybe,,7,
19-25,Female,Student in College,,7,9,0.5,5,3,-0.5,-0.5,-1,-1,-1,-0.5,10,1000,Complete Physical Attendance,Maybe,,7,
19-25,Male,Student in College,,5,4,1.5,2,4,0,-0.5,-1,0,-0.5,-0.5,100,100,Complete Physical Attendance,Yes,,5,
19-25,Female,Student in College,,11,9,0.5,2,3,-0.5,-0.5,-0.5,1,0,0,100,1111,Complete Physical Attendance,Yes,,11,
19-25,Male,Student in College,,7,9,1.5,4,5,0.5,-0.5,0.5,-0.5,-1,-0.5,10,1011,Complete Physical Attendance,Maybe,,7,
19-25,Female,Student in College,,7,5,0.5,3,4,0.5,0.5,0.5,1,0.5,0,1000,1110,Complete Physical Attendance,Maybe,,7,
19-25,Male,Working Professional,Engineering,7,9,1.5,1,2,0,-1,0.5,0.5,0,0,1000,1101,Complete Physical Attendance,Yes,,7,
19-25,Female,Student in College,,9,7,0.5,5,3,0.5,0.5,1,1,1,0.5,100,1,Work/study from home,Yes,,9,
19-25,Male,Student in College,,9,4,2.5,2,4,0,0,0,0.5,0,0,1000,1000,Complete Physical Attendance,Maybe,,9,
